version,1,startTime,2026-01-08 23:49:35.104,screenWidth,1920,screenHeight,1080
Event(uint),MsgID(hex),Time(uint),VkCode(hex),ScanCode(hex),Flags(hex)
0,101,8539984,d,1c,80
1,100,8540234,5b,5b,1
2,100,8540500,52,13,0
3,101,8540656,52,13,80
4,101,8540656,5b,5b,81
5,100,8541125,43,2e,0
6,101,8541265,43,2e,80
7,100,8541328,4d,32,0
8,101,8541437,4d,32,80
9,100,8541500,44,20,0
10,101,8541656,44,20,80
11,100,8542406,d,1c,0
12,101,8542500,d,1c,80

